actionName,resourceName,type,priority
UAV1Flight_Dynamics,UAV1longitude_deg,get,0
UAV1Flight_Dynamics,UAV1longitude_deg,set,0
UAV1Direct_to_waypoint,UAV1longitude_deg,get,0
UAV1Manage_WP_Progress,UAV1longitude_deg,get,0
UAV1Distance_to_next_WP,UAV1longitude_deg,get,0
UAV1Flight_Dynamics,UAV1latitude_deg,get,0
UAV1Flight_Dynamics,UAV1latitude_deg,set,0
UAV1Direct_to_waypoint,UAV1latitude_deg,get,0
UAV1Manage_WP_Progress,UAV1latitude_deg,get,0
UAV1Distance_to_next_WP,UAV1latitude_deg,get,0
UAV1Flight_Dynamics,UAV1altitude_ft,get,0
UAV1Land,UAV1altitude_ft,get,0
UAV1Flight_Dynamics,UAV1altitude_ft,set,0
UAV1Flight_Dynamics,UAV1heading_deg,get,0
UAV1Flight_Dynamics,UAV1heading_deg,set,0
UAV1Direct_to_waypoint,UAV1heading_to_WP_deg,get,0
UAV1Direct_to_waypoint,UAV1heading_to_WP_deg,set,0
UAV1Change_heading,UAV1heading_to_WP_deg,get,0
UAV1Change_heading,UAV1heading_to_WP_deg,set,0
UAV1Flight_Dynamics,UAV1heading_dot_degs,get,0
UAV1Flight_Dynamics,UAV1heading_dot_degs,set,0
UAV1Flight_Dynamics,UAV1airspeed_kts,get,0
UAV1Flight_Dynamics,UAV1airspeed_kts,set,0
UAV1Manage_WP_Progress,UAV1airspeed_kts,get,0
UAV1Land,UAV1airspeed_kts,get,0
UAV1Flight_Dynamics,UAV1airspeed_dot_fps2,get,0
UAV1Flight_Dynamics,UAV1airspeed_dot_fps2,set,0
UAV1Flight_Dynamics,UAV1vspeed_fps,get,0
UAV1Flight_Dynamics,UAV1vspeed_fps,set,0
UAV1Flight_Dynamics,UAV1vspeed_dot_fps2,get,0
UAV1Flight_Dynamics,UAV1vspeed_dot_fps2,set,0
UAV1Flight_Dynamics,UAV1altitudeLoopEnabled,get,0
UAV1Land,UAV1altitudeLoopEnabled,set,0
UAV1Flight_Dynamics,UAV1vspeedLoopEnabled,get,0
UAV1Land,UAV1vspeedLoopEnabled,set,0
UAV1Flight_Dynamics,UAV1headingLoopTarget_deg,get,0
UAV1Flight_Dynamics,UAV1headingLoopTarget_deg,set,0
UAV1Change_heading,UAV1headingLoopTarget_deg,get,0
UAV1Change_heading,UAV1headingLoopTarget_deg,set,0
UAV1Flight_Dynamics,UAV1airspeedLoopTarget_kts,get,0
UAV1Flight_Dynamics,UAV1airspeedLoopTarget_kts,set,0
UAV1Flight_Dynamics,UAV1vspeedLoopTarget_fps,get,0
UAV1Flight_Dynamics,UAV1vspeedLoopTarget_fps,set,0
UAV1Land,UAV1vspeedLoopTarget_fps,set,0
UAV1Flight_Dynamics,UAV1altitudeLoopTarget_ft,get,0
UAV1Flight_Dynamics,UAV1altitudeLoopTarget_ft,set,0
UAV1Takeoff,UAV1altitudeLoopTarget_ft,set,0
UAV1Takeoff,UAV1Dock_available,get,0
UAV1Takeoff,UAV1Dock_available,set,0
UAV1Takeoff,UAV1Dock_location,get,0
UAV1Direct_to_waypoint,UAV1WP_longitude_deg,get,0
UAV1Direct_to_waypoint,UAV1WP_longitude_deg,set,0
UAV1Manage_WP_Progress,UAV1WP_longitude_deg,get,0
UAV1Distance_to_next_WP,UAV1WP_longitude_deg,get,0
UAV1Direct_to_waypoint,UAV1WP_latitude_deg,get,0
UAV1Direct_to_waypoint,UAV1WP_latitude_deg,set,0
UAV1Manage_WP_Progress,UAV1WP_latitude_deg,get,0
UAV1Distance_to_next_WP,UAV1WP_latitude_deg,get,0
UAV1Direct_to_waypoint,UAV1distance_to_waypoint,get,0
UAV1Manage_WP_Progress,UAV1distance_to_waypoint,get,0
UAV1Land,UAV1distance_to_waypoint,get,0
UAV1Distance_to_next_WP,UAV1distance_to_waypoint,set,0
UAV1Manage_WP_Progress,UAV1WP_sequence,get,0
UAV1Land,UAV1WP_sequence,get,0
UAV1Manage_WP_Progress,UAV1WP_sequence,set,0
UAV1Manage_WP_Progress,UAV1WP_longitude_deg,set,0
UAV1Manage_WP_Progress,UAV1WP_latitude_deg,set,0
UAV1final_Sys_Check,UAV1vehicleId,get,0
UAV1final_Sys_Check,UAV1vehicleMissionId,get,0
UAV1final_Sys_Check,UAV1vehicleFinalFlightCheck,get,0
UAV1final_Sys_Check,UAV1vehicleFinalFlightCheck,set,0
UAV1Flight_Dynamics,UAV1vehicleId,get,0
UAV1Flight_Dynamics,UAV1vehicleMissionId,get,0
UAV1Land,UAV1vehicleId,get,0
UAV1Land,UAV1vehicleMissionId,get,0
UAV1Land,UAV1vehicleFinalFlightCheck,get,0
UAV1Manage_WP_Progress,UAV1vehicleId,get,0
UAV1preflight_Sys_Check,UAV1vehicleId,get,0
UAV1preflight_Sys_Check,UAV1vehicleMissionId,get,0
UAV1preflight_Sys_Check,UAV1vehicleAvailability,get,0
UAV1preflight_Sys_Check,UAV1vehiclePreflightCheck,get,0
UAV1preflight_Sys_Check,UAV1vehiclePreflightCheck,set,0
UAV1preflight_Sys_Check,UAV1vehicleDeadheadStatus,get,0
UAV1Takeoff,UAV1vehicleId,get,0
UAV1Takeoff,UAV1vehicleMissionId,get,0
UAV1Takeoff,UAV1longitude_deg,get,0
UAV1Takeoff,UAV1latitude_deg,get,0
UAV1Takeoff,UAV1longitude_deg,set,0
UAV1Takeoff,UAV1vehicleDeadheadStatus,get,0
UAV1Takeoff,UAV1vehicleDeadheadStatus,set,0
UAV1Land,UAV1vehicleDeadheadStatus,get,0
UAV1Land,UAV1vehicleDeadheadStatus,set,0
UAV2Flight_Dynamics,UAV2longitude_deg,get,0
UAV2Flight_Dynamics,UAV2longitude_deg,set,0
UAV2Direct_to_waypoint,UAV2longitude_deg,get,0
UAV2Manage_WP_Progress,UAV2longitude_deg,get,0
UAV2Distance_to_next_WP,UAV2longitude_deg,get,0
UAV2Flight_Dynamics,UAV2latitude_deg,get,0
UAV2Flight_Dynamics,UAV2latitude_deg,set,0
UAV2Direct_to_waypoint,UAV2latitude_deg,get,0
UAV2Manage_WP_Progress,UAV2latitude_deg,get,0
UAV2Distance_to_next_WP,UAV2latitude_deg,get,0
UAV2Flight_Dynamics,UAV2altitude_ft,get,0
UAV2Land,UAV2altitude_ft,get,0
UAV2Flight_Dynamics,UAV2altitude_ft,set,0
UAV2Flight_Dynamics,UAV2heading_deg,get,0
UAV2Flight_Dynamics,UAV2heading_deg,set,0
UAV2Direct_to_waypoint,UAV2heading_to_WP_deg,get,0
UAV2Direct_to_waypoint,UAV2heading_to_WP_deg,set,0
UAV2Change_heading,UAV2heading_to_WP_deg,get,0
UAV2Change_heading,UAV2heading_to_WP_deg,set,0
UAV2Flight_Dynamics,UAV2heading_dot_degs,get,0
UAV2Flight_Dynamics,UAV2heading_dot_degs,set,0
UAV2Flight_Dynamics,UAV2airspeed_kts,get,0
UAV2Flight_Dynamics,UAV2airspeed_kts,set,0
UAV2Manage_WP_Progress,UAV2airspeed_kts,get,0
UAV2Land,UAV2airspeed_kts,get,0
UAV2Flight_Dynamics,UAV2airspeed_dot_fps2,get,0
